sample	non_sig.ase	sig.ase	total.ase	Tissue_Color_Code	Tissue	Abbreviation	non_sig.asts	sig.asts	total.asts
GTOP-AJ141-2099	2715	217	2932	A8D650	Adrenal_Gland	ADRNLG	944	37	981
GTOP-AJ142-1053	1458	198	1656	69AE6A	Liver	LIVER	398	15	413
GTOP-AJ211-0160	2820	245	3065	E59525	Adipose	ADP	1050	34	1084
GTOP-AJ211-1856	2522	208	2730	8F8495	Gallbladder	BLADDER	936	29	965
GTOP-AJ221-1053	1601	170	1771	69AE6A	Liver	LIVER	463	12	475
GTOP-AJ221-1470	1947	157	2104	535426	Small_Intestine	SNTTRM	637	35	672
GTOP-AJ221-1584	2021	205	2226	E7C08D	Colon	COLON	686	37	723
GTOP-AJ221-1710	2283	167	2450	AF8C5C	Esophagus	ESP	731	32	763
GTOP-AJ221-4019	1317	91	1408	6F1F71	Heart_Left_Atrium	HEARTLA	295	20	315
GTOP-AJ221-4023	1988	150	2138	9F98BF	Heart_Tricuspid_Valve	HEARTTV	568	28	596
GTOP-AJ221-4149	1787	170	1957	7e888e	Thoracic_Aorta	THRAORT	613	27	640
GTOP-AJ221-4155	1812	189	2001	758E90	Aortic_Arch	ARTARCH	595	37	632
GTOP-AJ231-0087	2046	244	2290	7080BD	Muscle	MUSCLE	757	26	783
GTOP-AJ231-0262	3211	363	3574	3A71A4	Skin	SKIN	1350	36	1386
GTOP-AJ231-1053	2673	246	2919	69AE6A	Liver	LIVER	863	36	899
GTOP-AJ231-1236	2169	155	2324	902222	Pancreas_Body	PNCREASB	625	18	643
GTOP-AJ231-2099	2653	262	2915	A8D650	Adrenal_Gland	ADRNLG	1021	27	1048
GTOP-AK091-0087	2242	262	2504	7080BD	Muscle	MUSCLE	842	40	882
GTOP-AK091-1710	2830	294	3124	AF8C5C	Esophagus	ESP	1133	45	1178
GTOP-AK091-3082	2853	241	3094	768454	Spleen	SPLEEN	1042	40	1082
GTOP-AK091-4002	2004	121	2125	9C5CA1	Heart_Left_Ventricle	HEARTLV	500	14	514
GTOP-AK092-1053	1903	230	2133	69AE6A	Liver	LIVER	615	30	645
GTOP-AK111-1236	1948	133	2081	902222	Pancreas_Body	PNCREASB	538	16	554
GTOP-AK112-0262	2734	251	2985	3A71A4	Skin	SKIN	1086	14	1100
GTOP-AK112-1710	3058	335	3393	AF8C5C	Esophagus	ESP	1342	30	1372
GTOP-AK112-4002	1628	161	1789	9C5CA1	Heart_Left_Ventricle	HEARTLV	517	12	529
GTOP-AK112-4023	1941	177	2118	9F98BF	Heart_Tricuspid_Valve	HEARTTV	607	18	625
GTOP-AK221-0160	2865	195	3060	E59525	Adipose	ADP	1079	25	1104
GTOP-AK221-2099	2431	191	2622	A8D650	Adrenal_Gland	ADRNLG	883	33	916
