Var1	Var2	Freq
GTOP-AJ141-2099	0	944
GTOP-AJ142-1053	0	398
GTOP-AJ211-0160	0	1050
GTOP-AJ211-1856	0	936
GTOP-AJ221-1053	0	463
GTOP-AJ221-1470	0	637
GTOP-AJ221-1584	0	686
GTOP-AJ221-1710	0	731
GTOP-AJ221-4019	0	295
GTOP-AJ221-4023	0	568
GTOP-AJ221-4149	0	613
GTOP-AJ221-4155	0	595
GTOP-AJ231-0087	0	757
GTOP-AJ231-0262	0	1350
GTOP-AJ231-1053	0	863
GTOP-AJ231-1236	0	625
GTOP-AJ231-2099	0	1021
GTOP-AK091-0087	0	842
GTOP-AK091-1710	0	1133
GTOP-AK091-3082	0	1042
GTOP-AK091-4002	0	500
GTOP-AK092-1053	0	615
GTOP-AK111-1236	0	538
GTOP-AK112-0262	0	1086
GTOP-AK112-1710	0	1342
GTOP-AK112-4002	0	517
GTOP-AK112-4023	0	607
GTOP-AK221-0160	0	1079
GTOP-AK221-2099	0	883
GTOP-AK231-1710	0	1181
GTOP-AK231-5032	0	669
GTOP-AK281-1108	0	327
GTOP-AL121-0378	0	506
GTOP-AL121-1053	0	588
GTOP-AL271-1856	0	1107
GTOP-BA041-1236	0	539
GTOP-BA082-0160	0	1017
GTOP-BA131-1053	0	239
GTOP-BA131-2099	0	852
GTOP-BA191-2099	0	712
GTOP-BA231-3082	0	1266
GTOP-BA231-4155	0	809
GTOP-BA232-0378	0	793
GTOP-BA232-1856	0	1009
GTOP-BA251-0160	0	793
GTOP-BA251-2099	0	1068
GTOP-BB201-1053	0	632
GTOP-BB201-1710	0	1229
GTOP-BB201-1856	0	847
GTOP-BB201-4019	0	460
GTOP-BB201-4023	0	667
GTOP-BB201-4149	0	634
GTOP-BB201-4155	0	804
GTOP-BB202-0378	0	1091
GTOP-BB202-5032	0	767
GTOP-BC041-0262	0	1272
GTOP-BC041-3082	0	1211
GTOP-BC161-0160	0	776
GTOP-BC161-1856	0	707
GTOP-BC181-0087	0	833
GTOP-BC181-0262	0	1180
GTOP-BC181-1053	0	304
GTOP-BC181-1236	0	624
GTOP-BC181-1392	0	224
GTOP-BC181-2099	0	673
GTOP-BC181-3082	0	1291
GTOP-BD201-0087	0	649
GTOP-BE141-1856	0	719
GTOP-BE161-1710	0	831
GTOP-BE161-5302	0	575
GTOP-BF221-0378	0	339
GTOP-BG091-0160	0	750
GTOP-BG171-0378	0	311
GTOP-BH131-0378	0	359
GTOP-BH131-1236	0	370
GTOP-BH131-1710	0	661
GTOP-BH131-4003	0	566
GTOP-BH131-4022	0	554
GTOP-BI071-1236	0	317
GTOP-BI071-1856	0	853
GTOP-BJ141-0087	0	462
GTOP-BJ191-0378	0	439
GTOP-BJ191-1108	0	196
GTOP-BK021-0087	0	576
GTOP-BK021-1053	0	269
GTOP-BK071-1392	0	304
GTOP-BK071-1856	0	731
GTOP-BK071-4149	0	640
GTOP-BK071-4150	0	838
GTOP-BK161-1236	0	523
GTOP-BK281-0087	0	649
GTOP-BK281-4018	0	577
GTOP-BL021-0378	0	699
GTOP-BL021-2099	0	686
GTOP-BL221-0262	0	673
GTOP-BL261-0262	0	690
GTOP-BL261-3170	0	722
GTOP-CA081-1392	0	416
GTOP-CA081-1856	0	658
GTOP-CA081-3170	0	566
GTOP-CA081-4003	0	488
GTOP-CA121-0160	0	761
GTOP-CB151-1236	0	329
GTOP-CB161-1392	0	248
GTOP-CB261-0087	0	621
GTOP-CB271-0087	0	546
GTOP-CB271-1584	0	913
GTOP-CB271-1601	0	528
GTOP-CB271-1710	0	663
GTOP-CB271-4022	0	568
GTOP-CB271-4155	0	858
GTOP-CB281-3082	0	633
GTOP-CC131-0262	0	726
GTOP-CC131-3082	0	573
GTOP-CC201-3170	0	556
GTOP-CC201-5156	0	530
GTOP-CC241-1470	0	813
GTOP-CC241-1584	0	798
GTOP-CC241-1601	0	609
GTOP-CC241-1710	0	633
GTOP-CC241-3082	0	658
GTOP-CC241-4002	0	598
GTOP-CC241-4018	0	634
GTOP-CC241-4019	0	891
GTOP-CC241-4022	0	756
GTOP-CC241-4023	0	778
GTOP-CC241-5156	0	879
GTOP-CC241-6235	0	672
GTOP-CC241-6246	0	732
GTOP-CC311-1470	0	739
GTOP-CC311-1584	0	644
GTOP-CC311-1601	0	565
GTOP-CC311-3082	0	564
GTOP-CC311-4003	0	879
GTOP-CC311-4018	0	617
GTOP-CC311-4019	0	493
GTOP-CC311-5032	0	596
GTOP-CC311-5156	0	675
GTOP-CD021-4002	0	468
GTOP-CD021-4003	0	587
GTOP-CE141-1601	0	483
GTOP-CE161-0262	0	650
GTOP-CF011-1108	0	420
GTOP-CF201-2099	0	680
GTOP-CF241-1236	0	293
GTOP-CF242-0087	0	632
GTOP-CF242-0378	0	340
GTOP-CF242-2099	0	756
GTOP-CF301-0262	0	738
GTOP-CF301-4151	0	625
GTOP-CG041-4018	0	868
GTOP-CG041-5156	0	707
GTOP-CG041-6145	0	745
GTOP-CG071-6145	0	843
GTOP-CG091-0262	0	887
GTOP-CG171-1108	0	273
GTOP-CG261-4151	0	759
GTOP-CH091-3082	0	679
GTOP-CH101-1236	0	298
GTOP-CI161-0160	0	649
GTOP-CI161-5415	0	651
GTOP-CI201-1053	0	327
GTOP-CI201-5415	0	475
GTOP-CI221-3082	0	622
GTOP-CI221-5415	0	462
GTOP-CI221-6145	0	582
GTOP-CI222-5415	0	448
GTOP-CI231-0160	0	793
GTOP-CI251-5415	0	535
GTOP-CI291-5415	0	566
GTOP-CI301-5415	0	540
GTOP-CJ092-5415	0	504
GTOP-CJ092-6246	0	762
GTOP-CJ151-5415	0	363
GTOP-CJ151-6145	0	713
GTOP-CK031-5415	0	580
GTOP-AJ141-2099	1	37
GTOP-AJ142-1053	1	15
GTOP-AJ211-0160	1	34
GTOP-AJ211-1856	1	29
GTOP-AJ221-1053	1	12
GTOP-AJ221-1470	1	35
GTOP-AJ221-1584	1	37
GTOP-AJ221-1710	1	32
GTOP-AJ221-4019	1	20
GTOP-AJ221-4023	1	28
GTOP-AJ221-4149	1	27
GTOP-AJ221-4155	1	37
GTOP-AJ231-0087	1	26
GTOP-AJ231-0262	1	36
GTOP-AJ231-1053	1	36
GTOP-AJ231-1236	1	18
GTOP-AJ231-2099	1	27
GTOP-AK091-0087	1	40
GTOP-AK091-1710	1	45
GTOP-AK091-3082	1	40
GTOP-AK091-4002	1	14
GTOP-AK092-1053	1	30
GTOP-AK111-1236	1	16
GTOP-AK112-0262	1	14
GTOP-AK112-1710	1	30
GTOP-AK112-4002	1	12
GTOP-AK112-4023	1	18
GTOP-AK221-0160	1	25
GTOP-AK221-2099	1	33
GTOP-AK231-1710	1	24
GTOP-AK231-5032	1	13
GTOP-AK281-1108	1	23
GTOP-AL121-0378	1	20
GTOP-AL121-1053	1	45
GTOP-AL271-1856	1	34
GTOP-BA041-1236	1	10
GTOP-BA082-0160	1	30
GTOP-BA131-1053	1	10
GTOP-BA131-2099	1	20
GTOP-BA191-2099	1	39
GTOP-BA231-3082	1	36
GTOP-BA231-4155	1	22
GTOP-BA232-0378	1	21
GTOP-BA232-1856	1	44
GTOP-BA251-0160	1	43
GTOP-BA251-2099	1	38
GTOP-BB201-1053	1	32
GTOP-BB201-1710	1	69
GTOP-BB201-1856	1	35
GTOP-BB201-4019	1	23
GTOP-BB201-4023	1	34
GTOP-BB201-4149	1	25
GTOP-BB201-4155	1	41
GTOP-BB202-0378	1	44
GTOP-BB202-5032	1	47
GTOP-BC041-0262	1	28
GTOP-BC041-3082	1	63
GTOP-BC161-0160	1	25
GTOP-BC161-1856	1	34
GTOP-BC181-0087	1	48
GTOP-BC181-0262	1	42
GTOP-BC181-1053	1	15
GTOP-BC181-1236	1	17
GTOP-BC181-1392	1	13
GTOP-BC181-2099	1	25
GTOP-BC181-3082	1	32
GTOP-BD201-0087	1	40
GTOP-BE141-1856	1	31
GTOP-BE161-1710	1	31
GTOP-BE161-5302	1	34
GTOP-BF221-0378	1	12
GTOP-BG091-0160	1	18
GTOP-BG171-0378	1	13
GTOP-BH131-0378	1	30
GTOP-BH131-1236	1	25
GTOP-BH131-1710	1	42
GTOP-BH131-4003	1	31
GTOP-BH131-4022	1	31
GTOP-BI071-1236	1	16
GTOP-BI071-1856	1	33
GTOP-BJ141-0087	1	17
GTOP-BJ191-0378	1	17
GTOP-BJ191-1108	1	10
GTOP-BK021-0087	1	25
GTOP-BK021-1053	1	18
GTOP-BK071-1392	1	7
GTOP-BK071-1856	1	16
GTOP-BK071-4149	1	12
GTOP-BK071-4150	1	16
GTOP-BK161-1236	1	28
GTOP-BK281-0087	1	26
GTOP-BK281-4018	1	18
GTOP-BL021-0378	1	24
GTOP-BL021-2099	1	26
GTOP-BL221-0262	1	14
GTOP-BL261-0262	1	16
GTOP-BL261-3170	1	26
GTOP-CA081-1392	1	5
GTOP-CA081-1856	1	15
GTOP-CA081-3170	1	20
GTOP-CA081-4003	1	15
GTOP-CA121-0160	1	27
GTOP-CB151-1236	1	10
GTOP-CB161-1392	1	11
GTOP-CB261-0087	1	43
GTOP-CB271-0087	1	29
GTOP-CB271-1584	1	22
GTOP-CB271-1601	1	20
GTOP-CB271-1710	1	35
GTOP-CB271-4022	1	19
GTOP-CB271-4155	1	33
GTOP-CB281-3082	1	27
GTOP-CC131-0262	1	17
GTOP-CC131-3082	1	18
GTOP-CC201-3170	1	14
GTOP-CC201-5156	1	24
GTOP-CC241-1470	1	20
GTOP-CC241-1584	1	24
GTOP-CC241-1601	1	20
GTOP-CC241-1710	1	18
GTOP-CC241-3082	1	28
GTOP-CC241-4002	1	27
GTOP-CC241-4018	1	27
GTOP-CC241-4019	1	40
GTOP-CC241-4022	1	20
GTOP-CC241-4023	1	13
GTOP-CC241-5156	1	28
GTOP-CC241-6235	1	17
GTOP-CC241-6246	1	10
GTOP-CC311-1470	1	35
GTOP-CC311-1584	1	23
GTOP-CC311-1601	1	21
GTOP-CC311-3082	1	21
GTOP-CC311-4003	1	43
GTOP-CC311-4018	1	30
GTOP-CC311-4019	1	27
GTOP-CC311-5032	1	21
GTOP-CC311-5156	1	25
GTOP-CD021-4002	1	12
GTOP-CD021-4003	1	30
GTOP-CE141-1601	1	16
GTOP-CE161-0262	1	15
GTOP-CF011-1108	1	14
GTOP-CF201-2099	1	19
GTOP-CF241-1236	1	12
GTOP-CF242-0087	1	38
GTOP-CF242-0378	1	10
GTOP-CF242-2099	1	14
GTOP-CF301-0262	1	17
GTOP-CF301-4151	1	11
GTOP-CG041-4018	1	38
GTOP-CG041-5156	1	13
GTOP-CG041-6145	1	26
GTOP-CG071-6145	1	21
GTOP-CG091-0262	1	27
GTOP-CG171-1108	1	16
GTOP-CG261-4151	1	26
GTOP-CH091-3082	1	32
GTOP-CH101-1236	1	21
GTOP-CI161-0160	1	27
GTOP-CI161-5415	1	30
GTOP-CI201-1053	1	18
GTOP-CI201-5415	1	24
GTOP-CI221-3082	1	33
GTOP-CI221-5415	1	22
GTOP-CI221-6145	1	24
GTOP-CI222-5415	1	20
GTOP-CI231-0160	1	15
GTOP-CI251-5415	1	18
GTOP-CI291-5415	1	36
GTOP-CI301-5415	1	27
GTOP-CJ092-5415	1	22
GTOP-CJ092-6246	1	14
GTOP-CJ151-5415	1	7
GTOP-CJ151-6145	1	19
GTOP-CK031-5415	1	24
