QTL	Ann	logmFC	lFC	hFC
eQTL	3 prime UTR	1.1485552942968429	0.8129739569587866	1.4206206025759118
juQTL	3 prime UTR	2.1377930435459316	1.7081552174918453	2.468410933021873
tuQTL	3 prime UTR	2.9162716544280407	2.539839991503711	3.2145304366463607
eQTL	5 prime UTR	1.8974701745754907	1.6332682920979587	2.120695929754006
juQTL	5 prime UTR	3.4721140174045546	2.9557786472283762	3.851573625355404
tuQTL	5 prime UTR	2.8725777346003447	2.3408789495392415	3.2602273242226882
eQTL	CTCF binding site	1.6265305755217268	1.0463951884781715	2.039148447780377
juQTL	CTCF binding site	-0.13988367617527442	NA	0.9036077138153656
tuQTL	CTCF binding site	0.947124376449481	-0.12831942802585106	1.5563828528890857
eQTL	TF binding site	1.6157091701956123	1.3254736024458453	1.85722171210283
juQTL	TF binding site	1.1217474760833386	0.5737702511183377	1.517930590236118
tuQTL	TF binding site	1.0651224827021175	0.7222441244466006	1.3419565996796696
eQTL	enhancer	0.7334754034257337	0.5622031611852969	0.886555384408197
juQTL	enhancer	0.46842315546460617	0.2881456810262507	0.6286550709993366
tuQTL	enhancer	0.11420815532138058	-0.12674096848574706	0.32061578241229866
eQTL	frameshift	3.0771021518403874	2.504736508245816	3.485799735080178
juQTL	frameshift	4.007726528289796	3.4671953900152617	4.400024442400571
tuQTL	frameshift	4.481260326358717	3.1889096917747812	5.151842138134819
eQTL	intron	0.14435149549204343	0.05367600743306935	0.22966334823051415
juQTL	intron	1.8925556528258205	1.4528063865253802	2.229110150063555
tuQTL	intron	1.517176729109943	1.1754954557247557	1.793231248609189
eQTL	missense	1.8961239694037968	1.6242812733681131	2.124775262871923
juQTL	missense	3.5599401164891287	3.0979886109030144	3.9093013816470594
tuQTL	missense	3.706725760746901	3.455088088084729	3.920922183211648
eQTL	open chromatin region	0.547180076871356	-0.31226908542006315	1.0820754135309856
juQTL	open chromatin region	-1.723111406778239	NA	-0.5154772595737904
tuQTL	open chromatin region	-0.03255890133424462	NA	1.0607162934228642
eQTL	promoter	1.8503478061771592	1.6009035407761325	2.0629540029908355
juQTL	promoter	1.0444032706962505	0.7728177565738481	1.2728727436859768
tuQTL	promoter	0.8858449308250048	0.6473982638233595	1.0904145299190664
eQTL	splice acceptor	4.232207107562817	3.094283941052651	4.86036173129065
juQTL	splice acceptor	6.863084255350751	6.476079042485171	7.167927749474047
tuQTL	splice acceptor	7.283266422846075	6.786160195976273	7.652284433589738
eQTL	splice donor	4.387581364449808	3.9546680150584623	4.7201296099764125
juQTL	splice donor	6.346890519147314	6.05947123427658	6.586451771270169
tuQTL	splice donor	6.5547363241830965	6.176272816287884	6.854266533128026
eQTL	splice region	3.135496959306717	2.7040757540908507	3.467166706954429
juQTL	splice region	5.336128822998913	4.967903525440994	5.629222707608703
tuQTL	splice region	5.551921756176273	5.148682254448	5.866724462141054
eQTL	stop gained	3.113548263744115	1.8580875888789878	3.774513563381333
juQTL	stop gained	3.514440890021339	NA	4.948534291241412
tuQTL	stop gained	5.150326634366613	3.780569441913868	5.840112097375229
eQTL	synonymous	1.7783116227663671	1.3522683780606028	2.1068030889941127
juQTL	synonymous	3.525984241516618	3.0176681566547288	3.9011153893125967
tuQTL	synonymous	3.6722387117777915	3.1089404971690873	4.076320837975015
