feature	type	meanratio	sdratiio
synonymous	eQTL	0.00612288364944864	0.00038715717020212
synonymous	juQTL	0.00758133387650235	0.000257001648735496
synonymous	tuQTL	0.00840959914040643	0.00119958902737219
stop gained	eQTL	9.8099015584639e-05	3.35422372808648e-05
stop gained	juQTL	0.00011838953811707	3.36875396634799e-05
stop gained	tuQTL	0.000142148452905113	7.34159546115635e-05
splice region	eQTL	0.003248798455348	0.000228587091159719
splice region	juQTL	0.00429783658790747	0.000674822658382623
splice region	tuQTL	0.00487637673957875	0.00122106615699207
splice donor	eQTL	0.000277415746289356	3.22316029760893e-05
splice donor	juQTL	0.000427754565860789	0.000141577850306922
splice donor	tuQTL	0.000539254464038846	0.000273177238879574
splice acceptor	eQTL	0.000153404757697349	1.74352821375669e-05
splice acceptor	juQTL	0.000319371286279616	0.000196719703371193
splice acceptor	tuQTL	0.00037841018395642	0.000204138561905766
NC transcript	eQTL	0.0587094975104364	0.00503855412707151
NC transcript	juQTL	0.0592612448998835	0.00379530149432232
NC transcript	tuQTL	0.0686495701926366	0.00600361915561368
missense	eQTL	0.00665054716849168	0.000590745212096708
missense	juQTL	0.00766634880850595	0.000305724682043649
missense	tuQTL	0.0087428027600057	0.0014431185661923
intron	eQTL	0.675909575976884	0.0137236255069628
intron	juQTL	0.739064713788925	0.00729257043491715
intron	tuQTL	0.728179100179567	0.00586702636043025
frameshift	eQTL	0.000195603411479248	5.2720267142297e-05
frameshift	juQTL	0.000213893087984723	5.49892719508374e-05
frameshift	tuQTL	0.000258965399648855	6.34684117611273e-05
5 prime UTR	eQTL	0.00753233142333582	0.000566827014885971
5 prime UTR	juQTL	0.00844774229269934	0.000432974428315385
5 prime UTR	tuQTL	0.00891382788161019	0.00049511851264217
3 prime UTR	eQTL	0.0273893443070268	0.000784152622825244
3 prime UTR	juQTL	0.0318758026962294	0.00146484626819962
3 prime UTR	tuQTL	0.0378788289997605	0.00310483371138995
TF binding site	eQTL	0.00553229420180197	0.000178275232394597
TF binding site	juQTL	0.00547263718575094	0.000400770229278245
TF binding site	tuQTL	0.00578594104888253	0.000475120311183701
CTCF binding site	eQTL	0.00109101259331173	0.000200250824496762
CTCF binding site	juQTL	0.000958599971606504	7.56212965296013e-05
CTCF binding site	tuQTL	0.00112225381341789	0.000158391975981175
open chromatin region	eQTL	0.00192659186470828	0.000296402695617393
open chromatin region	juQTL	0.00193694762759903	9.06063505566645e-05
open chromatin region	tuQTL	0.0018347322025937	0.000287525519065237
promoter	eQTL	0.013853853832445	0.000859465197180188
promoter	juQTL	0.0118791871597686	0.000392691648799322
promoter	tuQTL	0.013900852147049	0.00112458612347101
enhancer	eQTL	0.0485345179288499	0.00258265668006193
enhancer	juQTL	0.0499451714151567	0.00159368450462865
enhancer	tuQTL	0.0537671710657879	0.00342776488938758
