threshold	OR	lower	upper
10	1.07284923886374	1.06335979178391	1.08245443585478
20	1.19455874866113	1.18135553065102	1.20791513796571
30	1.42409421482617	1.40484978575202	1.44365546370552
40	1.7191132419801	1.69094699453486	1.74785128541387
50	2.06235852864643	2.02168476249104	2.10390291372125
60	2.42784177635986	2.37086643584878	2.48640889923112
70	2.86956896880147	2.78895247471728	2.9527599240186
80	3.37980408814693	3.26579605915348	3.49819563178474
90	3.9423350045086	3.78371749868697	4.10811728193848
100	4.36888395093881	4.16262143492534	4.58721731025835
