gwas_id	trait	combined
070.2	Viral_hepatitis_B	Viral_hepatitis
070	Viral_hepatitis	Viral_hepatitis
151	Cancer_of_stomach	Cancer_of_stomach
153.2	Colon_cancer	Colorectal_cancer
153	Colorectal_cancer	Colorectal_cancer
165.1	Cancer_of_bronchus;_lung	Cancer_of_bronchus;_lung
174.1	Breast_cancer_female	Breast_cancer
174.11	Malignant_neoplasm_of_female_breast	Breast_cancer
174	Breast_cancer	Breast_cancer
185	Prostate_cancer	Prostate_cancer
193	Thyroid_cancer	Thyroid_cancer
218.1	Uterine_leiomyoma	Uterine_leiomyoma
218	Benign_neoplasm_of_uterus	Uterine_leiomyoma
241	Nontoxic_nodular_goiter	Nontoxic_nodular_goiter
242	Thyrotoxicosis_with_or_without_goiter	Thyrotoxicosis_with_or_without_goiter
250.2	Type_2_diabetes	Diabetes_mellitus
250.21	Type_2_diabetes_with_ketoacidosis	Diabetes_mellitus
250.22	Type_2_diabetes_with_renal_manifestations	Diabetes_mellitus
250.23	Type_2_diabetes_with_ophthalmic_manifestations	Diabetes_mellitus
250.24	Type_2_diabetes_with_nervous_system_manifestations	Diabetes_mellitus
250.25	Diabetes_type_2_with_peripheral_circulatory_disorders	Diabetes_mellitus
250.6	Polyneuropathy_in_diabetes	Diabetes_mellitus
250	Diabetes_mellitus	Diabetes_mellitus
272.1	Hyperlipidemia	Hyperlipidemia
272.11	Hypercholesterolemia	Hyperlipidemia
272.13	Mixed_hyperlipidemia	Hyperlipidemia
272.9	Unspecified_disorder_of_lipoid_metabolism	Hyperlipidemia
272	Disorders_of_lipoid_metabolism	Hyperlipidemia
274.1	Gout	Gout
274.11	Gouty_arthropathy	Gout
274	Gout_and_other_crystal_arthropathies	Gout
282	Hereditary_hemolytic_anemias	Hereditary_hemolytic_anemias
317.1	Alcoholism	Alcohol-related_disorders
317	Alcohol-related_disorders	Alcohol-related_disorders
362.2	Degeneration_of_macula_and_posterior_pole_of_retina	Macular_degeneration
362.29	Macular_degeneration_(senile)_of_retina_NOS	Macular_degeneration
386.2	Peripheral_or_central_vertigo	Peripheral_or_central_vertigo
386.21	Central_origin_vertigo	Peripheral_or_central_vertigo
386.3	Labyrinthitis	Peripheral_or_central_vertigo
386.9	Dizziness_and_giddiness_(Light-headedness_and_vertigo)	Peripheral_or_central_vertigo
386	Vertiginous_syndromes_and_other_disorders_of_vestibular_system	Peripheral_or_central_vertigo
401.1	Essential_hypertension	Hypertension
401.2	Hypertensive_heart_and/or_renal_disease	Hypertension
401.21	Hypertensive_heart_disease	Hypertension
401.3	Other_hypertensive_complications	Hypertension
401	Hypertension	Hypertension
411.4	Coronary_atherosclerosis	Coronary_atherosclerosis
427.2	Atrial_fibrillation	Atrial_fibrillation
427.21	Atrial_fibrillation	Atrial_fibrillation
531.3	Duodenal_ulcer	Peptic_ulcer
531	Peptic_ulcer_(excl._esophageal)	Peptic_ulcer
573	Other_disorders_of_liver	Other_disorders_of_liver
575.6	Cholesterolosis_of_gallbladder	Cholelithiasis
594.1	Calculus_of_kidney	Calculus_of_kidney
695.4	Lupus_localized_systemic	SLE
695.42	Systemic_lupus_erythematosus	SLE
695	Erythematous_conditions	SLE
696.4	Psoriasis	Psoriasis
696.41	Psoriasis_vulgaris	Psoriasis
696	Psoriasis_and_related_disorders	Psoriasis
709	Diffuse_diseases_of_connective_tissue	SLE
939	Atopic/contact_dermatitis_due_to_other_or_unspecified	Atopic
947	Urticaria	Urticaria
ALT	Serum_glutamate_pyruvate_transaminase	Serum_ALT
Angina-pectoris	Angina_pectoris	Angina_pectoris
