Ind	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	pop	superpop
GTEX-1117F	65.7605	-3.90699	-2.99669	-1.38545	1.0902	0.397255	2.32506	0.285462	-0.650795	-2.23933	GTEX-1117F	GTEX
GTEX-111CU	-23.0556	-34.2378	-7.04664	-6.25644	1.48774	0.301796	1.16544	-0.99581	1.41921	-3.49943	GTEX-111CU	GTEX
GTEX-111FC	-20.8429	-35.8224	-7.38333	-5.67277	0.977574	-1.40505	2.23059	-1.30853	0.729651	-0.482683	GTEX-111FC	GTEX
GTEX-111VG	-24.734	-38.2945	-9.33044	-5.50754	-0.219902	-1.60673	1.665	1.22109	-1.09924	-2.94297	GTEX-111VG	GTEX
GTEX-111YS	-24.5866	-37.4133	-7.75492	-5.90678	0.479246	-0.104893	2.76131	0.0386659	-2.01691	1.98603	GTEX-111YS	GTEX
GTEX-1122O	-23.7609	-38.6362	-7.91059	-5.77588	0.645636	2.13543	4.35523	-0.680686	-0.793285	-3.54745	GTEX-1122O	GTEX
GTEX-1128S	-23.2493	-37.6086	-6.33771	-8.17328	1.49821	-0.519607	4.38158	0.385138	4.13095	-12.3241	GTEX-1128S	GTEX
GTEX-113IC	49.2859	-8.42459	-3.44945	0.319279	1.18004	2.15799	1.93332	2.04727	-7.46891	-5.7622	GTEX-113IC	GTEX
GTEX-113JC	-21.6269	-33.6567	-8.08946	-3.28794	0.645202	-1.02616	-2.13657	-1.67116	-2.60995	-0.86713	GTEX-113JC	GTEX
GTEX-117XS	-23.864	-36.392	-6.69157	-6.97952	0.53542	-0.492053	1.54193	-1.0412	1.35872	-0.256082	GTEX-117XS	GTEX
GTEX-117YW	-20.3733	-34.9774	-5.72919	-7.43006	-1.1974	0.646998	-6.71255	2.21769	-1.62433	2.28572	GTEX-117YW	GTEX
GTEX-117YX	-31.0014	63.928	-5.77397	-7.84706	3.19487	-6.38322	1.74653	0.0840265	1.42474	-8.59372	GTEX-117YX	GTEX
