Major_Type	tec	sampleID	Total_count
STR	LRS	GTOP-AJ141	418761
STR	LRS	GTOP-AJ142	418164
STR	LRS	GTOP-AJ211	424726
STR	LRS	GTOP-AJ221	419893
STR	LRS	GTOP-AJ231	422766
STR	LRS	GTOP-AK091	420623
STR	LRS	GTOP-AK092	422907
STR	LRS	GTOP-AK111	419757
STR	LRS	GTOP-AK112	419312
STR	LRS	GTOP-AK221	420378
STR	LRS	GTOP-AK231	417495
STR	LRS	GTOP-AK281	425024
STR	LRS	GTOP-AL091	417275
STR	LRS	GTOP-AL121	413887
STR	LRS	GTOP-AL271	421752
STR	LRS	GTOP-BA041	420370
STR	LRS	GTOP-BA081	418910
STR	LRS	GTOP-BA082	422766
STR	LRS	GTOP-BA091	421599
STR	LRS	GTOP-BA101	416595
STR	LRS	GTOP-BA102	418208
STR	LRS	GTOP-BA131	420061
STR	LRS	GTOP-BA132	420544
STR	LRS	GTOP-BA181	419153
STR	LRS	GTOP-BA191	421398
STR	LRS	GTOP-BA211	420589
STR	LRS	GTOP-BA231	418623
STR	LRS	GTOP-BA232	417934
STR	LRS	GTOP-BA251	422685
STR	LRS	GTOP-BB011	420458
STR	LRS	GTOP-BB201	419572
STR	LRS	GTOP-BB202	420398
STR	LRS	GTOP-BB211	418891
STR	LRS	GTOP-BB251	421013
STR	LRS	GTOP-BB261	416219
STR	LRS	GTOP-BC041	420515
STR	LRS	GTOP-BC061	413092
STR	LRS	GTOP-BC161	423972
STR	LRS	GTOP-BC171	420330
STR	LRS	GTOP-BC181	421676
STR	LRS	GTOP-BC191	417944
STR	LRS	GTOP-BD011	417731
STR	LRS	GTOP-BD201	418394
STR	LRS	GTOP-BE141	421542
STR	LRS	GTOP-BE161	417315
STR	LRS	GTOP-BE181	419009
STR	LRS	GTOP-BE221	419209
STR	LRS	GTOP-BF221	418992
STR	LRS	GTOP-BF251	416749
STR	LRS	GTOP-BF271	421086
STR	LRS	GTOP-BG091	418635
STR	LRS	GTOP-BG171	421354
STR	LRS	GTOP-BG291	422800
STR	LRS	GTOP-BG311	418946
STR	LRS	GTOP-BH071	420116
STR	LRS	GTOP-BH101	418951
STR	LRS	GTOP-BH131	417434
STR	LRS	GTOP-BH171	417713
STR	LRS	GTOP-BH271	419763
STR	LRS	GTOP-BI071	421494
STR	LRS	GTOP-BI281	420308
STR	LRS	GTOP-BJ111	418664
STR	LRS	GTOP-BJ131	420845
STR	LRS	GTOP-BJ141	418849
STR	LRS	GTOP-BJ171	419166
STR	LRS	GTOP-BJ191	423651
STR	LRS	GTOP-BJ201	420184
STR	LRS	GTOP-BK021	423327
STR	LRS	GTOP-BK071	422042
STR	LRS	GTOP-BK161	420440
STR	LRS	GTOP-BK191	421951
STR	LRS	GTOP-BK251	419049
STR	LRS	GTOP-BK261	420981
STR	LRS	GTOP-BK281	419818
STR	LRS	GTOP-BL021	421343
STR	LRS	GTOP-BL091	423913
STR	LRS	GTOP-BL151	423909
STR	LRS	GTOP-BL161	420673
STR	LRS	GTOP-BL221	422028
STR	LRS	GTOP-BL261	423690
STR	LRS	GTOP-BL271	425889
STR	LRS	GTOP-CA031	421328
STR	LRS	GTOP-CA081	419472
STR	LRS	GTOP-CA121	427584
STR	LRS	GTOP-CA161	420836
STR	LRS	GTOP-CA171	420296
STR	LRS	GTOP-CA181	420624
STR	LRS	GTOP-CA231	420522
STR	LRS	GTOP-CA241	423727
STR	LRS	GTOP-CB051	422452
STR	LRS	GTOP-CB052	425132
STR	LRS	GTOP-CB121	424392
STR	LRS	GTOP-CB151	427553
STR	LRS	GTOP-CB161	425736
STR	LRS	GTOP-CB261	424992
STR	LRS	GTOP-CB271	415073
STR	LRS	GTOP-CB281	418896
STR	LRS	GTOP-CC031	424651
STR	LRS	GTOP-CC041	419098
STR	LRS	GTOP-CC061	425228
STR	LRS	GTOP-CC121	420489
STR	LRS	GTOP-CC131	425510
STR	LRS	GTOP-CC141	421128
STR	LRS	GTOP-CC201	421759
STR	LRS	GTOP-CC231	422154
STR	LRS	GTOP-CC241	423092
