Indis	chromosome	variants	phased	unphased	singletons	blocks	variant_per_block_median	variant_per_block_avg	variant_per_block_min	variant_per_block_max	variant_per_block_sum	bp_per_block_median	bp_per_block_avg	bp_per_block_min	bp_per_block_max	bp_per_block_sum	heterozygous_variants	heterozygous_snvs	phased_snvs	phased_fraction	phased_snvs_fraction	block_n50	group
GTOP-AJ141	1	429081	200745	1828	1	831	30	241.57039711191337	2	3724	200745	83376	226670.1612515042	2	3122047	188362904	202574	166791	165171	0.9909712006476645	0.9902872457146968	380458	LRS
GTOP-AJ141	2	399648	207241	978	0	874	26	237.1178489702517	2	3822	207241	91663	228082.05606407323	1	2696394	199343717	208219	171860	171024	0.9953030222986375	0.9951355754684045	436607	LRS
GTOP-AJ141	3	336232	178335	1643	0	751	17	237.46338215712385	2	4284	178335	72022	215306.57123834887	2	2455378	161695235	179978	150339	148817	0.9908711064685684	0.989876213091746	430496	LRS
GTOP-AJ141	4	365370	194234	1456	0	586	41	331.45733788395904	2	3654	194234	93301.5	270046.69965870306	4	2454644	158247366	195690	163317	162003	0.9925596606878225	0.9919542974705634	580189	LRS
GTOP-AJ141	5	291708	162581	743	1	624	25	260.54647435897436	2	3804	162581	84870.5	237401.04647435897	1	2721717	148138253	163325	135059	134436	0.9954446655441604	0.9953872011491274	460115	LRS
GTOP-AJ141	6	290464	163796	1582	0	524	39	312.587786259542	2	5071	163796	95284	265845.8759541985	1	3236626	139303239	165378	136345	134891	0.9904340359660898	0.9893358759030401	518158	LRS
GTOP-AJ141	7	292638	157639	2233	1	514	64.5	306.6906614785992	2	5932	157639	106812	257790.17509727625	4	2465910	132504150	159873	132636	130520	0.9860264084617165	0.9840465635272475	465702	LRS
GTOP-AJ141	8	252418	141783	1677	1	482	49.5	294.155601659751	2	5490	141783	97107.5	249635.21991701244	3	3961382	120324176	143461	120313	118742	0.9883034413533992	0.9869423919277218	464160	LRS
GTOP-AJ141	9	235274	127886	2549	0	351	106	364.34757834757835	2	3452	127886	122413	297369.9145299145	2	2456382	104376840	130435	109443	107095	0.980457699237168	0.9785459097429712	502564	LRS
GTOP-AJ141	10	272833	134521	846	0	435	53	309.24367816091956	2	3333	134521	93623	259335.3103448276	2	2625119	112810860	135367	112000	111251	0.9937503231954612	0.9933125	541500	LRS
GTOP-AJ141	11	260900	123888	5517	1	465	43	266.4258064516129	2	5384	123888	94435	236271.2559139785	5	2791946	109866134	129406	108964	103529	0.9573590096286108	0.9501211409272787	431458	LRS
GTOP-AJ141	12	245525	123561	1596	2	434	25	284.7027649769585	2	4899	123561	85753.5	255661.80875576037	5	3386808	110957225	125159	102812	101321	0.9872322405899696	0.9854978018130179	520410	LRS
GTOP-AJ141	13	207980	97622	1059	0	313	40	311.8913738019169	2	5230	97622	79969	259290.392971246	2	2791800	81157893	98681	81679	80673	0.9892684508669348	0.9876834926970213	417568	LRS
GTOP-AJ141	14	147896	87732	188	0	292	54.5	300.45205479452056	2	3052	87732	95772	253363.56164383562	3	2189280	73982160	87920	72282	72139	0.9978616924476797	0.9980216374754434	358218	LRS
GTOP-AJ141	15	149990	77556	2923	0	314	40.5	246.9936305732484	2	2874	77556	66035.5	210305.03503184713	1	2270573	66035781	80479	66648	63945	0.9636799662023634	0.9594436442203818	274016	LRS
GTOP-AJ141	16	153844	82171	2015	0	281	29	292.423487544484	2	2994	82171	85230	233789.45551601425	372	1773110	65694837	84186	69999	68114	0.9760649039032618	0.9730710438720553	376187	LRS
GTOP-AJ141	17	193675	73703	886	0	323	25	228.1826625386997	2	2505	73703	65240	195851.5294117647	6	1661976	63260044	74589	60178	59417	0.9881215728860824	0.9873541825916448	373872	LRS
GTOP-AJ141	18	182622	75046	2404	0	234	83	320.70940170940173	2	2882	75046	120554.5	275558.6324786325	2	2332213	64480720	77450	64810	62452	0.9689606197546804	0.9636167258139176	511398	LRS
GTOP-AJ141	19	104220	61803	239	0	191	84	323.5759162303665	2	3196	61803	121619	249169.47643979057	307	1721934	47591370	62042	49263	49083	0.9961477708648979	0.996346142135071	448159	LRS
GTOP-AJ141	20	123823	63463	1151	0	229	54	277.13100436681225	2	2973	63463	89039	230995.7423580786	108	2200746	52898025	64614	54052	52949	0.9821865230445415	0.9795937245615334	469109	LRS
GTOP-AJ141	21	81089	47486	1636	0	143	154	332.0699300699301	2	3738	47486	121492	215554.52447552446	54	1538361	30824297	49122	41670	40127	0.9666951671348887	0.9629709623230142	272513	LRS
GTOP-AJ141	22	71383	42036	352	0	124	75.5	339	2	3536	42036	69055	249361.56451612903	2	2508101	30920834	42388	35201	34919	0.9916957629517789	0.9919888639527286	258412	LRS
GTOP-AJ142	1	430550	209639	1926	1	916	27	228.86353711790392	2	3731	209639	81408.5	203037.00873362445	1	2403374	185981900	211566	174644	172933	0.9908917311855402	0.9902029270974095	331392	LRS
GTOP-AJ142	2	399498	209326	1186	1	1025	15	204.22048780487805	2	2748	209326	70185	187699.31024390244	1	2105973	192391793	210513	174413	173391	0.9943613933581299	0.9941403450430873	361057	LRS
GTOP-AJ142	3	334143	175418	1762	2	733	22	239.31514324693043	2	2527	175418	80435	219931.77489768076	1	2428894	161209991	177182	147141	145510	0.9900441354087887	0.9889153940777893	438539	LRS
GTOP-AJ142	4	360767	187179	1284	0	679	35	275.6686303387334	2	3508	187179	88302	229387.9469808542	1	2266075	155754416	188463	157077	155924	0.9931869916110855	0.9926596509991915	463649	LRS
GTOP-AJ142	5	289317	165875	351	1	654	23	253.631498470948	2	2279	165875	85046	228111.19571865443	2	1873386	149184722	166227	137560	137284	0.9978824138076245	0.9979936027915092	461097	LRS
GTOP-AJ142	6	288175	161296	1517	1	635	18	254.00944881889762	2	3614	161296	57851	213799.02992125985	2	2286446	135762384	162814	134381	133001	0.9906764774527989	0.9897306910947232	461655	LRS
GTOP-AJ142	7	297256	160612	2121	1	583	32	275.49228130360206	2	4828	160612	85259	220633.67409948542	1	2504002	128629432	162734	135312	133313	0.9869603156070643	0.9852267352489062	398876	LRS
GTOP-AJ142	8	249327	132262	1852	1	604	22	218.97682119205297	2	4663	132262	71135.5	189876.42549668875	5	2432793	114685361	134115	112453	110724	0.9861834992357306	0.9846246876472837	345163	LRS
GTOP-AJ142	9	230369	119899	2222	1	456	52.5	262.93640350877195	2	3867	119899	79847	216666.2105263158	4	2553646	98799792	122122	102276	100213	0.9817968916329572	0.9798290899135672	332201	LRS
GTOP-AJ142	10	270904	138855	840	0	496	25	279.94959677419354	2	3497	138855	76258	221862.34475806452	1	1949194	110043723	139695	115767	115029	0.993986900032213	0.9936251263313379	496533	LRS
GTOP-AJ142	11	263351	126785	5449	0	488	25	259.8053278688525	2	3691	126785	77125.5	223881.79918032786	1	2360516	109254318	132234	110989	105628	0.958792746192356	0.9516979160096947	448863	LRS
GTOP-AJ142	12	250761	126527	1727	0	470	26	269.2063829787234	2	2728	126527	75948	233218.68510638297	2	1838131	109612782	128254	104728	103092	0.9865345330360067	0.9843785807043006	508446	LRS
GTOP-AJ142	13	207433	95481	1150	0	374	31.5	255.29679144385025	2	3143	95481	74644	214407.4705882353	3	2299820	80188394	96631	80260	79164	0.9880990572383603	0.9863443807625218	330056	LRS
GTOP-AJ142	14	149119	89826	198	0	284	86	316.2887323943662	2	3386	89826	126871	256289.20774647887	53	2041941	72786135	90024	74017	73890	0.9978005865102639	0.9982841779591175	316290	LRS
GTOP-AJ142	15	150874	78492	2621	0	345	37	227.51304347826087	2	5362	78492	69937	189670.40289855073	4	3728716	65436289	81113	67688	65250	0.9676870538631293	0.9639817988417445	196821	LRS
GTOP-AJ142	16	151018	78910	2170	1	326	15.5	242.05521472392638	2	3959	78910	61380.5	194329.27914110429	1	2021455	63351345	81081	67578	65547	0.9732243065576399	0.9699458403622481	284172	LRS
GTOP-AJ142	17	189558	71152	1099	0	355	22	200.42816901408452	2	4174	71152	68373	173088.2647887324	6	2755874	61446334	72251	58072	57149	0.9847891378666039	0.98410593745695	294890	LRS
GTOP-AJ142	18	187912	73814	3315	1	262	63	281.7328244274809	2	3145	73814	104732.5	235516.7099236641	15	1959679	61705378	77130	64659	61398	0.9570076494230519	0.9495661856818076	378789	LRS
GTOP-AJ142	19	104896	63559	249	1	186	161.5	341.71505376344084	2	1903	63559	147641.5	255264.25268817204	495	1387784	47479151	63809	50631	50454	0.9960820573900233	0.9965041180304557	392218	LRS
GTOP-AJ142	20	126607	69465	913	0	236	65	294.34322033898303	2	3310	69465	87381	222653.0254237288	60	2421610	52546114	70378	59151	58285	0.9870271959987497	0.9853595036432182	442125	LRS
GTOP-AJ142	21	82963	47827	1119	0	145	99	329.84137931034485	2	3181	47827	99055	215107.87586206896	3	1472616	31190642	48946	41526	40483	0.9771380705267029	0.9748832057024515	222773	LRS
GTOP-AJ142	22	75095	46294	469	0	129	150	358.86821705426354	2	2755	46294	116901	243087.26356589148	20	2695847	31358257	46763	38722	38305	0.9899707033338323	0.9892309281545375	213688	LRS
GTOP-AJ211	1	436449	203792	1703	0	978	19.5	208.3762781186094	2	3052	203792	63676	186752.3013278856	1	2026746	182830503	205495	170204	168747	0.991712693739507	0.9914396841437334	301854	LRS
GTOP-AJ211	2	391350	212023	1130	0	1000	16.5	212.023	2	3856	212023	71857	193240.634	2	2811111	193240634	213153	176483	175569	0.9946986436972504	0.9948210309208252	363033	LRS
GTOP-AJ211	3	338794	178965	1697	3	809	19	221.21755253399257	2	3900	178965	70934	195177.19901112485	3	2538907	157898354	180665	150224	148704	0.9905903190988847	0.9898817765470231	396184	LRS
GTOP-AJ211	4	359726	192174	970	1	687	26	279.7292576419214	2	4616	192174	76725	227160.3347889374	1	3329583	156059150	193145	161001	160166	0.994972688912475	0.9948136968093366	471749	LRS
GTOP-AJ211	5	282959	159405	400	3	736	22	216.5828804347826	2	3221	159405	70700.5	196922.70380434784	1	2321974	144935110	159808	132107	131809	0.9974782238686424	0.9977442527648043	371454	LRS
GTOP-AJ211	6	287840	165083	1667	0	615	21	268.4276422764228	2	3570	165083	82818	221686.63577235772	4	2177225	136337281	166750	138102	136592	0.9900029985007496	0.9890660526277679	444049	LRS
GTOP-AJ211	7	290339	158073	1852	0	640	21.5	246.9890625	2	3208	158073	68373	201117.4078125	1	2139575	128715141	159925	132688	130982	0.9884195716742223	0.9871427710116966	411602	LRS
GTOP-AJ211	8	248259	133623	1832	2	589	22	226.8641765704584	2	5134	133623	64948	196383.8658743633	2	3464858	115670097	135457	113702	111988	0.9864606480285256	0.9849255070271411	384441	LRS
GTOP-AJ211	9	228720	121692	2021	0	466	68.5	261.14163090128756	2	3138	121692	81348	211677.69527896994	1	2215810	98641806	123713	104125	102296	0.9836638025106497	0.9824345738295318	319682	LRS
GTOP-AJ211	10	254482	133938	616	1	563	36	237.90053285968028	2	4153	133938	87667	192071.84724689164	1	2309084	108136450	134555	111741	111262	0.9954145145107949	0.9957133012949588	335574	LRS
GTOP-AJ211	11	256621	123026	2843	0	553	15	222.47016274864376	2	2794	123026	63469	194010.47558770343	2	1729148	107287793	125869	105439	102726	0.977413024652615	0.9742694828289342	365969	LRS
GTOP-AJ211	12	243024	121633	977	1	509	23	238.96463654223967	2	2909	121633	76378	211580.77406679763	1	2242313	107694614	122611	100908	100052	0.9920235541672444	0.9915170254092837	422415	LRS
GTOP-AJ211	13	204654	92720	1482	0	367	52	252.64305177111717	2	3263	92720	93064	219236.59673024522	7	2413751	80459831	94202	78431	77030	0.9842678499394917	0.9821371651515345	309000	LRS
GTOP-AJ211	14	146991	85267	196	0	340	28	250.78529411764706	2	3265	85267	79996.5	212423.61176470589	2	2251529	72224028	85463	70468	70338	0.9977066098779589	0.9981551910086848	280101	LRS
GTOP-AJ211	15	149428	79052	1914	0	335	39	235.97611940298506	2	2880	79052	63067	196703.90447761194	2	2030668	65895808	80966	67259	65563	0.976360447595287	0.9747840437710938	237868	LRS
GTOP-AJ211	16	147536	77044	1668	0	358	42	215.20670391061452	2	3096	77044	76664.5	178995.84636871508	4	1535391	64080513	78712	65523	64009	0.9788088220347596	0.9768936098774477	237985	LRS
GTOP-AJ211	17	162501	68888	635	0	370	21	186.18378378378378	2	2557	68888	62449.5	164604.57567567567	6	1361317	60903693	69523	56105	55606	0.9908663320052357	0.9911059620354692	268564	LRS
GTOP-AJ211	18	174519	74791	2925	0	271	90	275.98154981549817	2	2986	74791	108672	238098.29889298894	62	1841949	64524639	77716	65086	62231	0.9623629625817077	0.9561349598992103	402921	LRS
GTOP-AJ211	19	104281	66464	241	0	224	85.5	296.7142857142857	2	2479	66464	100766	208164.6607142857	514	1820116	46628884	66705	53234	53062	0.9963870774304775	0.9967689822294022	339372	LRS
GTOP-AJ211	20	120426	64153	888	0	282	51.5	227.49290780141843	2	2546	64153	77931	180592.5070921986	2	1805103	50927087	65041	54203	53363	0.9863470733844806	0.9845027028024279	328642	LRS
