sample	eventCount	geneCount	donorID	Tissue	Tissue_Color_Code
GTOP-CE161-0262	1505	522	GTOP-CE161	Skin	3A71A4
GTOP-BA231-3082	799	285	GTOP-BA231	Spleen	768454
GTOP-BB201-1710	787	289	GTOP-BB201	Esophagus	AF8C5C
GTOP-BC041-3082	777	268	GTOP-BC041	Spleen	768454
GTOP-CC241-5156	770	264	GTOP-CC241	Lung_Apex	76ADB8
GTOP-AJ231-0262	767	322	GTOP-AJ231	Skin	3A71A4
GTOP-BC181-3082	749	275	GTOP-BC181	Spleen	768454
GTOP-CC241-4019	724	273	GTOP-CC241	Heart_Left_Atrium	6F1F71
GTOP-BC181-0262	719	270	GTOP-BC181	Skin	3A71A4
GTOP-BC041-0262	713	249	GTOP-BC041	Skin	3A71A4
GTOP-AK112-1710	700	247	GTOP-AK112	Esophagus	AF8C5C
GTOP-AK221-0160	689	255	GTOP-AK221	Adipose	E59525
GTOP-AK231-1710	649	230	GTOP-AK231	Esophagus	AF8C5C
GTOP-CG041-4018	645	259	GTOP-CG041	Heart_Right_Atrium	8466A6
GTOP-CC311-4003	643	224	GTOP-CC311	Heart_Right_Ventricle	A780A0
GTOP-CC241-1470	630	229	GTOP-CC241	Small_Intestine	535426
GTOP-AJ141-2099	620	213	GTOP-AJ141	Adrenal_Gland	A8D650
GTOP-AJ211-0160	615	234	GTOP-AJ211	Adipose	E59525
GTOP-AJ231-2099	611	255	GTOP-AJ231	Adrenal_Gland	A8D650
GTOP-AK091-1710	609	250	GTOP-AK091	Esophagus	AF8C5C
GTOP-BA251-2099	605	220	GTOP-BA251	Adrenal_Gland	A8D650
GTOP-AJ231-1053	602	220	GTOP-AJ231	Liver	69AE6A
GTOP-BA232-1856	602	219	GTOP-BA232	Gallbladder	8F8495
GTOP-CF301-0262	593	212	GTOP-CF301	Skin	3A71A4
GTOP-CD021-4003	593	217	GTOP-CD021	Heart_Right_Ventricle	A780A0
GTOP-AK091-3082	592	245	GTOP-AK091	Spleen	768454
GTOP-CG091-0262	591	233	GTOP-CG091	Skin	3A71A4
GTOP-CC241-6235	583	205	GTOP-CC241	Ovary	DF898D
GTOP-CC311-1470	582	221	GTOP-CC311	Small_Intestine	535426
GTOP-AK221-2099	577	210	GTOP-AK221	Adrenal_Gland	A8D650
GTOP-CC241-1601	576	210	GTOP-CC241	Stomach	F8D895
GTOP-BI071-1856	574	215	GTOP-BI071	Gallbladder	8F8495
GTOP-CG261-4151	572	261	GTOP-CG261	Abdominal_Aorta	cbc5d3
GTOP-AL271-1856	569	217	GTOP-AL271	Gallbladder	8F8495
GTOP-CI161-0160	567	183	GTOP-CI161	Adipose	E59525
GTOP-AK112-0262	566	214	GTOP-AK112	Skin	3A71A4
GTOP-CC311-4018	565	210	GTOP-CC311	Heart_Right_Atrium	8466A6
GTOP-CC241-4018	560	222	GTOP-CC241	Heart_Right_Atrium	8466A6
GTOP-CG071-6145	557	217	GTOP-CG071	Prostate	0CE3C3
GTOP-BA251-0160	546	215	GTOP-BA251	Adipose	E59525
GTOP-BL261-3170	546	218	GTOP-BL261	Lymph_node	ACAA95
GTOP-CB281-3082	545	206	GTOP-CB281	Spleen	768454
GTOP-CC131-0262	542	201	GTOP-CC131	Skin	3A71A4
GTOP-BK281-4018	542	200	GTOP-BK281	Heart_Right_Atrium	8466A6
GTOP-BC161-0160	535	203	GTOP-BC161	Adipose	E59525
GTOP-BA082-0160	530	210	GTOP-BA082	Adipose	E59525
GTOP-CI221-3082	530	210	GTOP-CI221	Spleen	768454
GTOP-BB201-4155	529	215	GTOP-BB201	Aortic_Arch	758E90
GTOP-CC311-3082	526	192	GTOP-CC311	Spleen	768454
GTOP-BC181-0087	518	201	GTOP-BC181	Muscle	7080BD
GTOP-CG041-6145	518	232	GTOP-CG041	Prostate	0CE3C3
GTOP-BL261-0262	517	209	GTOP-BL261	Skin	3A71A4
GTOP-BB202-5032	517	198	GTOP-BB202	Lung_Base	AECBD1
GTOP-CB271-1710	514	191	GTOP-CB271	Esophagus	AF8C5C
GTOP-CC311-5156	513	184	GTOP-CC311	Lung_Apex	76ADB8
GTOP-CB271-1584	509	198	GTOP-CB271	Colon	E7C08D
GTOP-BA231-4155	506	190	GTOP-BA231	Aortic_Arch	758E90
GTOP-CC241-1710	505	191	GTOP-CC241	Esophagus	AF8C5C
GTOP-BC181-2099	504	180	GTOP-BC181	Adrenal_Gland	A8D650
GTOP-CC241-6246	504	186	GTOP-CC241	Uterus	E35656
GTOP-CC241-4022	503	199	GTOP-CC241	Heart_Mitral_Valve	BA91BC
