dir	num	all	ratio	thresh
diff	855	8946	0.09557344064386318	40
same	8091	8946	0.9044265593561368	40
diff	876	9211	0.09510368038215178	35
same	8335	9211	0.9048963196178482	35
diff	901	9478	0.0950622494197088	30
same	8577	9478	0.9049377505802912	30
diff	907	9799	0.09256046535360751	25
same	8892	9799	0.9074395346463925	25
diff	897	10073	0.08904993547106126	20
same	9176	10073	0.9109500645289388	20
diff	912	10456	0.08722264728385616	15
same	9544	10456	0.9127773527161438	15
diff	915	10744	0.0851638123603872	10
same	9829	10744	0.9148361876396128	10
