group	count	Freq	all	ratio
ASE	1	37567	46973	0.7997573073893514
ASE	2	6473	46973	0.13780256743235475
ASE	3	1833	46973	0.03902241713324676
ASE	4	697	46973	0.014838311370361698
ASE	5	279	46973	0.005939582313243779
ASE	6	89	46973	0.0018947054690992698
ASE	7	27	46973	5.747982883784301e-4
ASE	8	8	46973	1.7031060396397932e-4
ASTS	1	5151	6481	0.7947847554389754
ASTS	2	906	6481	0.13979324178367536
ASTS	3	296	6481	0.04567196420305508
ASTS	4	89	6481	0.01373244869618886
ASTS	5	28	6481	0.004320320938126832
ASTS	6	7	6481	0.001080080234531708
ASTS	7	4	6481	6.171887054466903e-4
