gene_id	ase_tissues	tissue	asts_tissues
ENSG00000000460.17	1	Whole_Blood	NA
ENSG00000001036.14	14	Adrenal_Gland	6
ENSG00000001084.13	1	Gallbladder	NA
ENSG00000001561.7	3	Adrenal_Gland	NA
ENSG00000001630.18	2	Adrenal_Gland	NA
ENSG00000002016.18	6	Skin	NA
ENSG00000002587.10	1	Gallbladder	NA
ENSG00000002822.16	3	Liver	1
ENSG00000002933.9	3	Gallbladder	2
ENSG00000003056.8	9	Small_Intestine	NA
ENSG00000003137.9	2	Esophagus	NA
ENSG00000003147.19	4	Liver	NA
ENSG00000003402.21	1	Whole_Blood	NA
ENSG00000003436.16	5	Heart_Tricuspid_Valve	NA
ENSG00000003989.18	4	Adipose	NA
ENSG00000004059.11	1	Skin	1
ENSG00000004399.13	3	Adipose	1
ENSG00000004455.18	6	Skin	NA
ENSG00000004468.13	2	Gallbladder	NA
ENSG00000004660.15	1	Whole_Blood	NA
ENSG00000004700.16	1	Spleen	NA
ENSG00000004776.13	7	Heart_Left_Ventricle	NA
ENSG00000004799.8	15	Adrenal_Gland	2
ENSG00000004838.14	1	Lung_Base	NA
ENSG00000004939.16	1	Whole_Blood	NA
ENSG00000005001.10	1	Esophagus	NA
ENSG00000005020.13	2	Whole_Blood	NA
ENSG00000005075.16	8	Liver	2
ENSG00000005102.14	1	Lymph_node	NA
ENSG00000005187.12	1	Adipose	NA
ENSG00000005243.10	1	Ovary	NA
ENSG00000005421.9	3	Liver	NA
ENSG00000005436.14	2	Muscle	NA
ENSG00000005469.12	1	Small_Intestine	NA
ENSG00000005471.19	1	Liver	NA
ENSG00000005483.23	2	Colon	NA
ENSG00000005700.15	2	Liver	NA
ENSG00000005812.11	2	Whole_Blood	1
ENSG00000005961.19	1	Spleen	NA
ENSG00000006007.12	2	Whole_Blood	NA
ENSG00000006015.18	2	Muscle	NA
ENSG00000006062.18	1	Esophagus	NA
ENSG00000006459.11	2	Whole_Blood	NA
ENSG00000006468.15	4	Gallbladder	NA
ENSG00000006534.17	2	Gallbladder	NA
ENSG00000006555.11	3	Small_Intestine	NA
ENSG00000006611.17	1	Heart_Right_Ventricle	NA
ENSG00000006625.18	1	Skin	5
ENSG00000006638.13	2	Adrenal_Gland	NA
ENSG00000006652.15	1	Whole_Blood	NA
ENSG00000006744.19	13	Adipose	3
ENSG00000006747.15	5	Small_Intestine	NA
ENSG00000006831.10	1	Aortic_Arch	NA
ENSG00000007001.14	1	Liver	NA
ENSG00000007047.16	1	Muscle	NA
ENSG00000007062.12	5	Pancreas_Body	NA
ENSG00000007237.19	13	Esophagus	5
ENSG00000007306.15	2	Colon	NA
ENSG00000007312.14	2	Lung_Apex	NA
ENSG00000007341.19	8	Adrenal_Gland	NA
ENSG00000007376.8	3	Muscle	1
ENSG00000007384.15	1	Heart_Right_Ventricle	NA
ENSG00000007541.17	1	Pancreas_Body	2
ENSG00000007944.16	1	Aortic_Arch	NA
ENSG00000007968.7	1	Whole_Blood	NA
ENSG00000008128.23	3	Whole_Blood	NA
ENSG00000008130.15	6	Adrenal_Gland	2
ENSG00000008226.20	1	Colon	NA
ENSG00000008256.17	1	Heart_Right_Ventricle	NA
ENSG00000008282.10	5	Liver	NA
ENSG00000008283.16	3	Skin	NA
ENSG00000008294.22	1	Pancreas_Tail	NA
ENSG00000008311.16	1	Common_Iliac_Artery	NA
ENSG00000008324.12	1	Heart_Mitral_Valve	NA
ENSG00000008394.13	4	Liver	2
ENSG00000008513.17	9	Spleen	3
ENSG00000008516.19	1	Whole_Blood	NA
ENSG00000008517.19	1	Pancreas_Head	NA
ENSG00000008838.21	4	Muscle	1
ENSG00000008952.17	1	Whole_Blood	NA
ENSG00000009307.17	1	Diaphragm	NA
ENSG00000009413.17	2	Colon	2
ENSG00000009724.18	1	Liver	1
ENSG00000009790.15	4	Spleen	1
ENSG00000009844.16	1	Liver	NA
ENSG00000009950.16	2	Adipose	NA
ENSG00000009954.11	1	Esophagus	NA
ENSG00000010030.14	2	Colon	NA
ENSG00000010165.20	4	Liver	NA
ENSG00000010244.19	1	Adipose	NA
ENSG00000010270.14	4	Whole_Blood	NA
ENSG00000010278.15	1	Spleen	NA
ENSG00000010282.15	2	Muscle	NA
ENSG00000010295.20	1	Diaphragm	NA
ENSG00000010319.7	1	Skin	NA
ENSG00000010438.17	1	Pancreas_Head	NA
ENSG00000010610.10	1	Liver	NA
ENSG00000010810.18	1	Whole_Blood	NA
ENSG00000011052.21	1	Diaphragm	NA
ENSG00000011105.14	1	Aortic_Arch	NA
ENSG00000011198.10	2	Adrenal_Gland	NA
ENSG00000011260.14	1	Muscle	NA
ENSG00000011295.16	1	Aortic_Arch	NA
ENSG00000011405.14	2	Liver	NA
ENSG00000011422.12	4	Lymph_node	NA
ENSG00000011465.18	6	Esophagus	NA
ENSG00000011485.15	2	Gallbladder	NA
ENSG00000011566.15	1	Abdominal_Aorta	NA
ENSG00000011600.12	2	Heart_Mitral_Valve	NA
ENSG00000012048.26	1	Liver	NA
ENSG00000012061.17	1	Diaphragm	NA
ENSG00000012660.14	3	Skin	NA
ENSG00000012822.16	3	Whole_Blood	1
ENSG00000013306.16	4	Colon	1
ENSG00000013364.19	1	Heart_Right_Ventricle	2
ENSG00000013374.17	2	Gallbladder	NA
ENSG00000013375.17	1	Muscle	NA
ENSG00000013561.18	2	Esophagus	NA
ENSG00000014123.10	3	Aortic_Arch	NA
ENSG00000014164.7	1	Adrenal_Gland	NA
ENSG00000014216.16	2	Muscle	NA
ENSG00000014919.13	1	Pancreas_Tail	NA
ENSG00000015153.15	1	Whole_Blood	NA
ENSG00000015475.19	1	Skin	1
ENSG00000015532.10	1	Esophagus	NA
ENSG00000015676.18	1	Lung_Apex	NA
ENSG00000016391.11	1	Liver	NA
ENSG00000017427.17	2	Liver	NA
ENSG00000019144.20	1	Adipose	NA
ENSG00000019505.8	1	Small_Intestine	NA
ENSG00000019582.17	27	Liver	6
ENSG00000020577.14	2	Skin	NA
ENSG00000021355.13	4	Pancreas_Head	NA
ENSG00000021488.13	2	Liver	1
ENSG00000021826.18	1	Liver	NA
ENSG00000021852.14	1	Liver	1
ENSG00000022567.10	1	Whole_Blood	NA
ENSG00000023041.12	3	Muscle	NA
ENSG00000023171.20	2	Adrenal_Gland	NA
ENSG00000023228.15	12	Gallbladder	NA
ENSG00000023608.5	4	Esophagus	NA
ENSG00000023839.12	1	Liver	NA
ENSG00000023909.10	4	Adrenal_Gland	NA
ENSG00000024048.11	1	Pancreas_Tail	NA
ENSG00000024862.18	1	Heart_Left_Atrium	NA
ENSG00000025039.15	1	Muscle	NA
ENSG00000025156.13	1	Esophagus	NA
ENSG00000025423.11	1	Liver	NA
ENSG00000025708.14	10	Skin	NA
ENSG00000025772.8	2	Gallbladder	NA
ENSG00000025796.14	11	Heart_Left_Ventricle	NA
ENSG00000026025.16	3	Esophagus	NA
ENSG00000026036.23	4	Colon	NA
ENSG00000026103.25	9	Adipose	NA
ENSG00000026297.17	11	Gallbladder	2
ENSG00000026508.21	1	Whole_Blood	NA
ENSG00000026652.15	1	Whole_Blood	NA
ENSG00000027075.18	1	Heart_Left_Atrium	NA
ENSG00000027697.16	1	Whole_Blood	NA
ENSG00000028137.19	1	Whole_Blood	NA
ENSG00000029534.22	1	Whole_Blood	NA
ENSG00000029559.7	1	Pancreas_Body	NA
ENSG00000029639.11	2	Adrenal_Gland	NA
ENSG00000029725.17	2	Whole_Blood	NA
ENSG00000030110.14	2	Skin	NA
ENSG00000030582.19	1	Diaphragm	NA
ENSG00000031698.13	2	Abdominal_Aorta	NA
ENSG00000032389.13	1	Skin	NA
ENSG00000033011.14	3	Small_Intestine	NA
ENSG00000033050.9	6	Thoracic_Aorta	NA
ENSG00000033100.17	1	Pancreas_Body	NA
ENSG00000033178.13	9	Muscle	NA
ENSG00000033327.13	2	Aortic_Arch	NA
ENSG00000034510.6	5	Whole_Blood	NA
ENSG00000034677.13	1	Stomach	NA
ENSG00000034971.17	1	Heart_Right_Ventricle	NA
ENSG00000035115.22	13	Small_Intestine	17
ENSG00000035141.10	10	Esophagus	7
ENSG00000035664.11	3	Muscle	NA
ENSG00000035687.10	1	Esophagus	NA
ENSG00000035862.13	6	Heart_Tricuspid_Valve	NA
ENSG00000035928.17	1	Heart_Tricuspid_Valve	NA
ENSG00000037280.16	2	Spleen	NA
ENSG00000037474.15	2	Liver	2
ENSG00000038002.9	6	Esophagus	NA
ENSG00000038427.16	2	Aortic_Arch	NA
ENSG00000038945.15	23	Adrenal_Gland	NA
ENSG00000039537.16	3	Liver	NA
ENSG00000039560.14	1	Spleen	NA
ENSG00000040341.18	10	Small_Intestine	NA
ENSG00000040933.17	1	Whole_Blood	NA
ENSG00000041353.10	1	Whole_Blood	NA
ENSG00000041357.16	25	Adrenal_Gland	20
ENSG00000041802.11	1	Muscle	NA
ENSG00000041982.17	1	Esophagus	NA
ENSG00000042062.13	1	Whole_Blood	NA
ENSG00000042088.14	1	Diaphragm	NA
ENSG00000042286.15	3	Skin	NA
ENSG00000042429.12	1	Whole_Blood	NA
ENSG00000042445.14	5	Gallbladder	NA
ENSG00000042493.16	19	Small_Intestine	13
ENSG00000042753.12	2	Skin	NA
ENSG00000042980.14	1	Gallbladder	NA
ENSG00000043093.15	1	Whole_Blood	NA
ENSG00000043462.13	3	Heart_Right_Atrium	4
ENSG00000044012.4	4	Gallbladder	NA
ENSG00000044574.9	2	Heart_Right_Atrium	1
ENSG00000046889.19	9	Adipose	NA
ENSG00000047056.18	3	Liver	NA
ENSG00000047188.16	3	Adrenal_Gland	NA
ENSG00000047249.18	2	Spleen	NA
ENSG00000047346.13	3	Esophagus	NA
ENSG00000047365.13	2	Adipose	NA
ENSG00000047410.14	1	Uterus	NA
ENSG00000047849.22	5	Aortic_Arch	1
ENSG00000047936.11	2	Lung_Base	NA
ENSG00000048342.18	1	Whole_Blood	NA
ENSG00000048544.7	23	Adrenal_Gland	24
ENSG00000049130.16	1	Gallbladder	NA
ENSG00000049239.13	14	Adipose	NA
ENSG00000049245.13	1	Common_Iliac_Artery	NA
ENSG00000049541.11	3	Whole_Blood	NA
ENSG00000049759.20	2	Stomach	NA
ENSG00000050130.18	1	Heart_Left_Ventricle	3
ENSG00000050165.19	6	Aortic_Arch	NA
ENSG00000050393.12	1	Lung_Apex	NA
ENSG00000050405.14	1	Heart_Right_Ventricle	NA
ENSG00000050628.21	1	Skin	NA
ENSG00000050748.18	1	Lung_Apex	NA
ENSG00000050767.18	1	Heart_Left_Atrium	NA
ENSG00000051108.15	19	Adrenal_Gland	1
ENSG00000051523.12	21	Esophagus	3
ENSG00000051596.10	2	Adrenal_Gland	NA
ENSG00000051620.11	7	Colon	NA
