QTL	Ann	logmFC	hFC	lFC
tuQTL known	3 prime UTR	2.890258695166401	3.1641930743161932	2.5518246565722693
tuQTL novel	3 prime UTR	2.6229436498256447	2.9043123332409633	2.2730697228917074
tuQTL known	5 prime UTR	2.536686423772928	2.8880984393906926	2.0711291848379085
tuQTL novel	5 prime UTR	2.8852162737067912	3.1662648630491423	2.5358379998530602
tuQTL known	CTCF binding site	1.4113718677511007	2.0302891195759787	0.3044321231968826
tuQTL novel	CTCF binding site	1.3228169575062374	2.0151802289067646	-0.05773583265677387
tuQTL known	TF binding site	1.249303996496555	1.5356308423836766	0.8917165837745111
tuQTL novel	TF binding site	0.7674985154935501	1.4348087167191876	-0.5121680013778178
tuQTL known	enhancer	0.10193399040711279	0.3240829305139936	-0.1607596107249586
tuQTL novel	enhancer	0.08351569898423068	0.4109047356563616	-0.3406695580751599
tuQTL known	frameshift	4.688133118070627	5.284341834232674	3.653858700938146
tuQTL novel	frameshift	2.876699692608871	3.895007045300761	NA
tuQTL known	intron	1.4778112776723964	1.7320753066478973	1.168939582689832
tuQTL novel	intron	1.6695163268497135	2.0564889194038174	1.139097051926545
tuQTL known	missense	3.5821377606554115	3.7708777980516826	3.364935671964381
tuQTL novel	missense	3.8603253762576655	4.208723095132675	3.400063154998365
tuQTL known	open chromatin region	-0.8769969193689969	0.35878023865270786	NA
tuQTL novel	open chromatin region	0.26604172491100486	1.2835523395460309	NA
tuQTL known	promoter	0.6822393219838065	0.8526120094900815	0.48901844346698753
tuQTL novel	promoter	0.8720768715230074	1.1742822447794925	0.4893229888785577
tuQTL known	splice acceptor	7.3999267760846115	7.673140356157459	7.062593975604556
tuQTL novel	splice acceptor	6.545781711143735	7.129827174120225	5.548529332109505
tuQTL known	splice donor	6.618480044003496	6.831002912815345	6.369150554896709
tuQTL novel	splice donor	5.657032263313946	6.0196170232453765	5.171579010783145
tuQTL known	splice region	5.3420830577247065	5.588815159444786	5.044268136252955
tuQTL novel	splice region	5.430427235643473	5.733315408032	5.04657496866358
tuQTL known	stop gained	5.273242620195187	5.894572709484321	4.158292902241027
tuQTL novel	stop gained	1.557842392091779	3.0076824214871567	NA
tuQTL known	synonymous	3.295603017133681	3.6116104806526206	2.8903795603552167
tuQTL novel	synonymous	3.7763978518698633	4.023561840390626	3.477952764681273
