feature	type	meanratio	sdratiio
synonymous	known	0.00842328786715748	0.0012442562172807693
synonymous	novel	0.008976047482342766	0.001530004963497653
stop gained	known	1.4274385430619013e-4	6.513387968626433e-5
stop gained	novel	1.7626459430088916e-4	1.7435511428281144e-4
splice region	known	0.004844518015633454	0.0010767302722786058
splice region	novel	0.005195817378554908	0.0011598380579353825
splice donor	known	5.735358343853174e-4	3.175182697037685e-4
splice donor	novel	4.3547795657402483e-4	2.4981976356026095e-4
splice acceptor	known	4.273374086469894e-4	2.6055826181182513e-4
splice acceptor	novel	2.6842555511283654e-4	1.4778900790142718e-4
NC transcript	known	0.07013929129071876	0.006433942619426319
NC transcript	novel	0.06310992792892087	0.003725291199144263
missense	known	0.00855490172984469	9.267053305528844e-4
missense	novel	0.00967620564935161	0.0024945174075499147
intron	known	0.7270658178234886	0.0070921601005683125
intron	novel	0.7237782251127208	0.029825646178454363
frameshift	known	2.7289553315759457e-4	5.525357262207339e-5
frameshift	novel	3.0584389523124334e-4	1.422028151929138e-4
5 prime UTR	known	0.00895484471872828	0.00040592778076834737
5 prime UTR	novel	0.009326813927449832	0.00139585766836905
3 prime UTR	known	0.038127973937242675	0.003455773033332388
3 prime UTR	novel	0.03756686359360972	0.003197128593947903
TF binding site	known	0.005874604460994699	4.8229071322315677e-4
TF binding site	novel	0.005612116897440292	5.773363804407086e-4
CTCF binding site	known	0.001177696503654193	1.797900742966512e-4
CTCF binding site	novel	9.530318459750116e-4	1.2977430985600726e-4
open chromatin region	known	0.0018441759326982476	3.00779940072717e-4
open chromatin region	novel	0.0016174168682714664	2.2821804270977444e-4
promoter	known	0.014312940343587797	0.001036198836722901
promoter	novel	0.013040606435656554	0.0011839818501151944
enhancer	known	0.05429705049797184	0.0032243692737636814
enhancer	novel	0.05669374411174442	0.006502220509482142
