gene_id	variant_id	logafc	sample	Tissue	total_coverage	variants	log2_aFC	TOTAL_COUNT	dir	thresh
ENSG00000120594.17	chr10@20287985@A@G	1.49032563	GTOP-AJ141-2099	Adrenal_Gland	80	rs536553013	-1.9259994185562233	24	diff	20
ENSG00000197746.15	chr10@71816550@C@T	-0.27853779	GTOP-AJ141-2099	Adrenal_Gland	10651	rs7869	-0.30493502397405703	1909	same	20
ENSG00000107742.14	chr10@72062485@G@T	-0.7956415	GTOP-AJ141-2099	Adrenal_Gland	145	rs1049245	-0.8675497039763503	161	same	20
ENSG00000167244.22	chr11@2130822@G@A	3.73696559	GTOP-AJ141-2099	Adrenal_Gland	43	rs3802971	4.481126689736616	70	same	20
ENSG00000085063.18	chr11@33709860@C@T	0.18769752	GTOP-AJ141-2099	Adrenal_Gland	3202	rs842	0.2854831622819621	1014	same	20
ENSG00000245532.12	chr11@65423737@C@G	-1.03242148	GTOP-AJ141-2099	Adrenal_Gland	201	rs512715	0.24688103057496957	8412	diff	20
ENSG00000251562.12	chr11@65500446@C@T	-0.2492178	GTOP-AJ141-2099	Adrenal_Gland	47761	rs769556565	0.14170609329087208	111224	diff	20
ENSG00000289740.2	chr11@65500446@C@T	-0.22871669	GTOP-AJ141-2099	Adrenal_Gland	4096	rs769556565	0.14170609329087208	111224	diff	20
ENSG00000120457.12	chr11@128891433@C@G	2.91753784	GTOP-AJ141-2099	Adrenal_Gland	77	rs71470655	1.0641303374197155	68	same	20
ENSG00000111671.10	chr12@6871059@G@C	1.4150375	GTOP-AJ141-2099	Adrenal_Gland	121	rs11064436	1.784271308944563	40	same	20
ENSG00000173391.9	chr12@10159363@T@G	1.52356196	GTOP-AJ141-2099	Adrenal_Gland	93	rs10505755	1.1783372412585125	62	same	20
ENSG00000197728.11	chr12@56043301@C@G	1.05444778	GTOP-AJ141-2099	Adrenal_Gland	80	rs117700991	1.584962500721156	56	same	20
ENSG00000155957.19	chr12@66137823@T@C	-2.11726605	GTOP-AJ141-2099	Adrenal_Gland	331	rs11176054	-2.3625700793847084	43	same	20
ENSG00000139329.5	chr12@91103708@A@G	-0.47809776	GTOP-AJ141-2099	Adrenal_Gland	1754	rs80228231	-2.050626073069968	36	same	20
